Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
R_rostralmiddlefrontal,Bacterial Infections,44289,24615,19674,-0.0196635698178359,-0.0352944914042832,-0.00403264823138864,"-0.02 (-0.04, -0.00)",0.0136788840022292,0.0290892723085381,Female,0.319,Cortical,Volume of rostralmiddlefrontal (right hemisphere),Bacterial,**
R_superiorfrontal,Bacterial Infections,44289,24615,19674,-0.0323961477904204,-0.0481458437416512,-0.0166464518391896,"-0.03 (-0.05, -0.02)",5.54829164850391e-05,0.000526362493554259,Female,0.62,Cortical,Volume of superiorfrontal (right hemisphere),Bacterial,**
R_superiorparietal,Bacterial Infections,44289,24615,19674,-0.0290874280783729,-0.0460997906213793,-0.0120750655353665,"-0.03 (-0.05, -0.01)",0.000805287431597581,0.00338220721270984,Female,0.379,Cortical,Volume of superiorparietal (right hemisphere),Bacterial,**
R_superiortemporal,Bacterial Infections,44289,24615,19674,-0.0390190253919738,-0.0554372851236542,-0.0226007656602935,"-0.04 (-0.06, -0.02)",3.20060062074066e-06,4.48084086903692e-05,Female,0.512,Cortical,Volume of superiortemporal (right hemisphere),Bacterial,**
R_supramarginal,Bacterial Infections,44289,24615,19674,-0.028402475391894,-0.0447342771305812,-0.0120706736532068,"-0.03 (-0.04, -0.01)",0.000653439840561336,0.00296697008687309,Female,0.334,Cortical,Volume of supramarginal (right hemisphere),Bacterial,**
R_temporalpole,Bacterial Infections,43526,24201,19325,-0.051567336263791,-0.0682262355276466,-0.0349084369999353,"-0.05 (-0.07, -0.03)",1.31228179687493e-09,1.10231670937494e-07,Female,0.037,Cortical,Volume of grey matter in Temporal Pole (right),Bacterial,**
R_transversetemporal,Bacterial Infections,44289,24615,19674,-0.0128353924182736,-0.0299802095610002,0.00430942472445309,"-0.01 (-0.03, 0.00)",0.142285637417179,0.185302225473536,Female,0.341,Cortical,Volume of transversetemporal (right hemisphere),Bacterial,
Raccumb,Bacterial Infections,43521,24198,19323,-0.0500673702218469,-0.0678566704037424,-0.0322780700399513,"-0.05 (-0.07, -0.03)",3.4797110670637e-08,9.74319098777835e-07,Female,0.674,SubCortical,Volume of accumbens (right),Bacterial,**
Ramyg,Bacterial Infections,43521,24198,19323,-0.019262305973767,-0.0360587386714448,-0.00246587327608914,"-0.02 (-0.04, -0.00)",0.0245960040304376,0.0444314911517582,Female,0.861,SubCortical,Volume of amygdala (right),Bacterial,**
Rcaud,Bacterial Infections,43521,24198,19323,-0.00666337564525208,-0.023720754700051,0.0103940034095469,"-0.01 (-0.02, 0.01)",0.443876269515103,0.507287165160118,Female,0.015,SubCortical,Volume of caudate (right),Bacterial,
Rhippo,Bacterial Infections,43521,24198,19323,-0.0199405543139503,-0.0368692749753749,-0.00301183365252567,"-0.02 (-0.04, -0.00)",0.0209631978720699,0.0392508799643107,Female,0.921,SubCortical,Volume of hippocampus (right),Bacterial,**
RLatVent,Bacterial Infections,44289,24615,19674,0.0157524058075398,3.6787724756137e-05,0.0314680238903234,"0.02 (0.00, 0.03)",0.0494661418080297,0.075548289306809,Female,0.596,SubCortical,Volume of Lateral-Ventricle (right hemisphere),Bacterial,*
Rpal,Bacterial Infections,43521,24198,19323,-0.0267383269680639,-0.0442618392606825,-0.00921481467544541,"-0.03 (-0.04, -0.01)",0.002784920998414,0.00820818820585179,Female,0.987,SubCortical,Volume of pallidum (right),Bacterial,**
Rput,Bacterial Infections,43521,24198,19323,-0.0324942703674508,-0.0483322189084263,-0.0166563218264753,"-0.03 (-0.05, -0.02)",5.79718486791352e-05,0.000526362493554259,Female,0.763,SubCortical,Volume of putamen (right),Bacterial,**
Rthal,Bacterial Infections,43521,24198,19323,-0.0363308937671768,-0.0525054243277119,-0.0201563632066416,"-0.04 (-0.05, -0.02)",1.07239152659956e-05,0.000128686983191947,Female,0.314,SubCortical,Volume of thalamus (right),Bacterial,**
