Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
R_parsorbitalis,Localised Bacterial Infections,83240,52987,30253,-0.0057879186241801,-0.0190860500123668,0.00751021276400661,"-0.01 (-0.02, 0.01)",0.393621269971334,0.452413089578183,Cortical,Volume of parsorbitalis (right hemisphere),Localised,
R_parstriangularis,Localised Bacterial Infections,83240,52987,30253,-0.011659817238434,-0.0250274640300254,0.00170782955315738,"-0.01 (-0.03, 0.00)",0.0873460122961518,0.120279754637324,Cortical,Volume of parstriangularis (right hemisphere),Localised,
R_pericalcarine,Localised Bacterial Infections,83240,52987,30253,0.00423188268659874,-0.00947311951006938,0.0179368848832669,"0.00 (-0.01, 0.02)",0.545038509288465,0.57953461747128,Cortical,Volume of pericalcarine (right hemisphere),Localised,
R_postcentral,Localised Bacterial Infections,83240,52987,30253,-0.0243273001874018,-0.0377832747584572,-0.0108713256163465,"-0.02 (-0.04, -0.01)",0.000395060557134291,0.00150841303633093,Cortical,Volume of postcentral (right hemisphere),Localised,**
R_posteriorcingulate,Localised Bacterial Infections,83240,52987,30253,-0.0179757615560725,-0.0314992836186949,-0.00445223949345017,"-0.02 (-0.03, -0.00)",0.0091819578190685,0.0173043668646105,Cortical,Volume of posteriorcingulate (right hemisphere),Localised,**
R_precentral,Localised Bacterial Infections,83240,52987,30253,-0.0289244669811211,-0.0420790194734166,-0.0157699144888256,"-0.03 (-0.04, -0.02)",1.63688123502148e-05,0.00012499820340164,Cortical,Volume of precentral (right hemisphere),Localised,**
R_precuneus,Localised Bacterial Infections,83240,52987,30253,-0.0219639998002676,-0.034846019657227,-0.00908197994330825,"-0.02 (-0.03, -0.01)",0.000832703695088735,0.00259063371805384,Cortical,Volume of precuneus (right hemisphere),Localised,**
R_rostralanteriorcingulate,Localised Bacterial Infections,83240,52987,30253,-0.0109696576360799,-0.0245553583607467,0.00261604308858681,"-0.01 (-0.02, 0.00)",0.113521220788941,0.149735145748339,Cortical,Volume of rostralanteriorcingulate (right hemisphere),Localised,
R_rostralmiddlefrontal,Localised Bacterial Infections,83240,52987,30253,-0.0128868914055385,-0.0255270026792014,-0.000246780131875677,"-0.01 (-0.03, -0.00)",0.0456918849584003,0.0710762654908449,Cortical,Volume of rostralmiddlefrontal (right hemisphere),Localised,*
R_superiorfrontal,Localised Bacterial Infections,83240,52987,30253,-0.0226047312569601,-0.0353536814986832,-0.00985578101523693,"-0.02 (-0.04, -0.01)",0.000510739676600857,0.001787588868103,Cortical,Volume of superiorfrontal (right hemisphere),Localised,**
R_superiorparietal,Localised Bacterial Infections,83240,52987,30253,-0.0247243373474873,-0.0381290219949243,-0.0113196527000503,"-0.02 (-0.04, -0.01)",0.000300388048316494,0.00126162980292927,Cortical,Volume of superiorparietal (right hemisphere),Localised,**
R_superiortemporal,Localised Bacterial Infections,83240,52987,30253,-0.0310044381398764,-0.0441084723190579,-0.017900403960695,"-0.03 (-0.04, -0.02)",3.53378282002392e-06,3.71047196102511e-05,Cortical,Volume of superiortemporal (right hemisphere),Localised,**
R_supramarginal,Localised Bacterial Infections,83240,52987,30253,-0.0215774401968345,-0.0347794644976131,-0.00837541589605586,"-0.02 (-0.03, -0.01)",0.00135857167029105,0.00356625063451402,Cortical,Volume of supramarginal (right hemisphere),Localised,**
R_temporalpole,Localised Bacterial Infections,81870,52112,29758,-0.0457665780923939,-0.0589290144818482,-0.0326041417029395,"-0.05 (-0.06, -0.03)",9.49049131089471e-12,2.65733756705052e-10,Cortical,Volume of grey matter in Temporal Pole (right),Localised,**
R_transversetemporal,Localised Bacterial Infections,83240,52987,30253,-0.0111091725894978,-0.0248891000111809,0.00267075483218525,"-0.01 (-0.02, 0.00)",0.114083920570163,0.149735145748339,Cortical,Volume of transversetemporal (right hemisphere),Localised,
Raccumb,Localised Bacterial Infections,81858,52102,29756,-0.0520619972208685,-0.0661544293400375,-0.0379695651016996,"-0.05 (-0.07, -0.04)",4.49791530758738e-13,1.8891244291867e-11,SubCortical,Volume of accumbens (right),Localised,**
Ramyg,Localised Bacterial Infections,81858,52102,29756,-0.0230513806018415,-0.0368652587396353,-0.00923750246404783,"-0.02 (-0.04, -0.01)",0.00107339924208587,0.00310915642535216,SubCortical,Volume of amygdala (right),Localised,**
Rcaud,Localised Bacterial Infections,81858,52102,29756,-0.00218028822016156,-0.015716269804574,0.0113556933642509,"-0.00 (-0.02, 0.01)",0.752228777195479,0.761291774511087,SubCortical,Volume of caudate (right),Localised,
Rhippo,Localised Bacterial Infections,81858,52102,29756,-0.0229569877918678,-0.0368043897770835,-0.00910958580665207,"-0.02 (-0.04, -0.01)",0.00115701652339516,0.00323964626550646,SubCortical,Volume of hippocampus (right),Localised,**
RLatVent,Localised Bacterial Infections,83240,52987,30253,0.0163109532034331,0.00275830214561735,0.0298636042612489,"0.02 (0.00, 0.03)",0.0183315019472586,0.0320801284077026,SubCortical,Volume of Lateral-Ventricle (right hemisphere),Localised,**
Rpal,Localised Bacterial Infections,81858,52102,29756,-0.0282513239236668,-0.0418942566245967,-0.0146083912227369,"-0.03 (-0.04, -0.01)",4.93951531606749e-05,0.000319168681961284,SubCortical,Volume of pallidum (right),Localised,**
Rput,Localised Bacterial Infections,81858,52102,29756,-0.0269659453569034,-0.039847627433472,-0.0140842632803348,"-0.03 (-0.04, -0.01)",4.08287082150079e-05,0.000285800957505055,SubCortical,Volume of putamen (right),Localised,**
Rthal,Localised Bacterial Infections,81858,52102,29756,-0.0283576962937562,-0.0411555920455266,-0.0155598005419859,"-0.03 (-0.04, -0.02)",1.40737666886623e-05,0.000118219640184763,SubCortical,Volume of thalamus (right),Localised,**
