Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
Lamyg,Bacterial Infections without Sepsis,29679,15778,13901,0.00344213474453118,-0.0191684684663554,0.0260527379554178,"0.00 (-0.02, 0.03)",0.765409043224623,0.853464950852235,71-80,0.353,SubCortical,Volume of amygdala (left),No-Sepsis,
Lcaud,Bacterial Infections without Sepsis,29679,15778,13901,0.0150509086004257,-0.00679150530666784,0.0368933225075192,"0.02 (-0.01, 0.04)",0.17683275426993,0.332080112343235,71-80,0.013,SubCortical,Volume of caudate (left),No-Sepsis,
Lhippo,Bacterial Infections without Sepsis,29679,15778,13901,-0.0149849803005813,-0.0372942741356573,0.00732431353449464,"-0.01 (-0.04, 0.01)",0.188000891581232,0.345811858966937,71-80,0.064,SubCortical,Volume of hippocampus (left),No-Sepsis,
LLatVent,Bacterial Infections without Sepsis,30001,15926,14075,0.0275465985233243,0.00197827486463394,0.0531149221820146,"0.03 (0.00, 0.05)",0.0347208034211722,0.122069865676136,71-80,0.705,SubCortical,Volume of Lateral-Ventricle (left hemisphere),No-Sepsis,*
Lpal,Bacterial Infections without Sepsis,29679,15778,13901,-0.0203099824323788,-0.0439927807355085,0.00337281587075097,"-0.02 (-0.04, 0.00)",0.0927925170633787,0.214529488990564,71-80,0.099,SubCortical,Volume of pallidum (left),No-Sepsis,
Lput,Bacterial Infections without Sepsis,29679,15778,13901,-0.0281355219216875,-0.0499459418099735,-0.0063251020334015,"-0.03 (-0.05, -0.01)",0.011461428193164,0.0587524730949457,71-80,0.619,SubCortical,Volume of putamen (left),No-Sepsis,*
Lthal,Bacterial Infections without Sepsis,29679,15778,13901,-0.0152744804870883,-0.0355975415854559,0.00504858061127932,"-0.02 (-0.04, 0.01)",0.140724708643075,0.283602836649767,71-80,0.051,SubCortical,Volume of thalamus (left),No-Sepsis,
R_bankssts,Bacterial Infections without Sepsis,30001,15926,14075,-0.00513142785079643,-0.0265244155039228,0.01626155980233,"-0.01 (-0.03, 0.02)",0.638254390310587,0.758370750598276,71-80,0.106,Cortical,Volume of bankssts (right hemisphere),No-Sepsis,
R_caudalanteriorcingulate,Bacterial Infections without Sepsis,30001,15926,14075,0.000273074645761527,-0.021944871737886,0.0224910210294091,"0.00 (-0.02, 0.02)",0.980780701945271,0.985480080934653,71-80,0.883,Cortical,Volume of caudalanteriorcingulate (right hemisphere),No-Sepsis,
R_caudalmiddlefrontal,Bacterial Infections without Sepsis,30001,15926,14075,-0.016121763053,-0.0371839363535933,0.00494041024759334,"-0.02 (-0.04, 0.00)",0.133550042079827,0.275793554292856,71-80,0.47,Cortical,Volume of caudalmiddlefrontal (right hemisphere),No-Sepsis,
R_cuneus,Bacterial Infections without Sepsis,30001,15926,14075,-0.00847590511588632,-0.0294336172616295,0.0124818070298568,"-0.01 (-0.03, 0.01)",0.427959986739734,0.56463830711211,71-80,0.148,Cortical,Volume of cuneus (right hemisphere),No-Sepsis,
R_entorhinal,Bacterial Infections without Sepsis,30001,15926,14075,-0.00279963258566596,-0.0257155764476753,0.0201163112763433,"-0.00 (-0.03, 0.02)",0.810752284036545,0.875115447280891,71-80,0.18,Cortical,Volume of entorhinal (right hemisphere),No-Sepsis,
R_frontalpole,Bacterial Infections without Sepsis,30001,15926,14075,-0.000221486931029968,-0.0238396449874386,0.0233966711253787,"-0.00 (-0.02, 0.02)",0.985335080294174,0.985480080934653,71-80,0.151,Cortical,Volume of frontalpole (right hemisphere),No-Sepsis,
R_fusiform,Bacterial Infections without Sepsis,30001,15926,14075,-0.0202944570453943,-0.0405858483350363,-3.06575575236348e-06,"-0.02 (-0.04, -0.00)",0.0499653982675946,0.144703898118627,71-80,0.246,Cortical,Volume of fusiform (right hemisphere),No-Sepsis,*
R_inferiorparietal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0175604948593165,-0.0378111911894722,0.00269020147083921,"-0.02 (-0.04, 0.00)",0.0892050058050945,0.20814501354522,71-80,0.051,Cortical,Volume of inferiorparietal (right hemisphere),No-Sepsis,
R_inferiortemporal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0286416100194714,-0.0485315999218323,-0.00875162011711053,"-0.03 (-0.05, -0.01)",0.00476874645331008,0.0380622977142444,71-80,0.158,Cortical,Volume of inferiortemporal (right hemisphere),No-Sepsis,**
R_insula,Bacterial Infections without Sepsis,29683,15781,13902,-0.0290226783598494,-0.0501445905809281,-0.00790076613877073,"-0.03 (-0.05, -0.01)",0.00708076489040766,0.0469566513784929,71-80,0.913,Cortical,Volume of grey matter in Insular Cortex (right),No-Sepsis,**
R_isthmuscingulate,Bacterial Infections without Sepsis,30001,15926,14075,-0.0113209521795787,-0.0321241001977577,0.00948219583860032,"-0.01 (-0.03, 0.01)",0.286141183925275,0.465210182897867,71-80,0.07,Cortical,Volume of isthmuscingulate (right hemisphere),No-Sepsis,
