Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_parsopercularis,Fungal Infections,38951,35385,3566,0.0172465744377616,-0.0187304509475462,0.0532235998230694,"0.02 (-0.02, 0.05)",0.347432847155667,0.738844535723443,Male,0.349,Cortical,Volume of parsopercularis (left hemisphere),Fungal,
L_parsorbitalis,Fungal Infections,38951,35385,3566,0.00376211449278273,-0.0302929378830778,0.0378171668686432,"0.00 (-0.03, 0.04)",0.828578119783924,0.933940611572355,Male,0.063,Cortical,Volume of parsorbitalis (left hemisphere),Fungal,
L_parstriangularis,Fungal Infections,38951,35385,3566,0.0333685941568995,-0.00165050319006757,0.0683876915038666,"0.03 (-0.00, 0.07)",0.0618189416776891,0.518522887758145,Male,0.343,Cortical,Volume of parstriangularis (left hemisphere),Fungal,
L_pericalcarine,Fungal Infections,38951,35385,3566,0.0288584369093189,-0.00650028719448153,0.0642171610131193,"0.03 (-0.01, 0.06)",0.109673865472359,0.599378466820887,Male,0.106,Cortical,Volume of pericalcarine (left hemisphere),Fungal,
L_postcentral,Fungal Infections,38951,35385,3566,0.00221091274718581,-0.0318942096147273,0.0363160351090989,"0.00 (-0.03, 0.04)",0.898892470304734,0.933940611572355,Male,0.436,Cortical,Volume of postcentral (left hemisphere),Fungal,
L_posteriorcingulate,Fungal Infections,38951,35385,3566,0.0326354698933388,-0.00179552053853556,0.0670664603252131,"0.03 (-0.00, 0.07)",0.0632031487853099,0.518522887758145,Male,0.169,Cortical,Volume of posteriorcingulate (left hemisphere),Fungal,
L_precentral,Fungal Infections,38951,35385,3566,0.00584553260592049,-0.0276673917389147,0.0393584569507556,"0.01 (-0.03, 0.04)",0.732443248921208,0.929449732318578,Male,0.255,Cortical,Volume of precentral (left hemisphere),Fungal,
L_precuneus,Fungal Infections,38951,35385,3566,0.0457291293507289,0.0119480115895322,0.0795102471119255,"0.05 (0.01, 0.08)",0.0079749784427461,0.270043878592986,Male,0.26,Cortical,Volume of precuneus (left hemisphere),Fungal,*
L_rostralanteriorcingulate,Fungal Infections,38951,35385,3566,-0.0125774016218249,-0.0463279400510089,0.0211731368073592,"-0.01 (-0.05, 0.02)",0.465138755481574,0.792629583597481,Male,0.528,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Fungal,
L_rostralmiddlefrontal,Fungal Infections,38951,35385,3566,0.0124479310001816,-0.0206264330112485,0.0455222950116117,"0.01 (-0.02, 0.05)",0.460714144299574,0.792629583597481,Male,0.442,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Fungal,
L_superiorfrontal,Fungal Infections,38951,35385,3566,0.0326450010553709,-0.000357095625512963,0.0656470977362548,"0.03 (-0.00, 0.07)",0.0525308813321053,0.518522887758145,Male,0.196,Cortical,Volume of superiorfrontal (left hemisphere),Fungal,
L_superiorparietal,Fungal Infections,38951,35385,3566,0.0314292736616165,-0.00292428254432495,0.0657828298675579,"0.03 (-0.00, 0.07)",0.0729516749361969,0.532864408229612,Male,0.125,Cortical,Volume of superiorparietal (left hemisphere),Fungal,
L_superiortemporal,Fungal Infections,38951,35385,3566,0.00892459210473969,-0.0244509834437975,0.0423001676532768,"0.01 (-0.02, 0.04)",0.600206058872112,0.86920316242751,Male,0.154,Cortical,Volume of superiortemporal (left hemisphere),Fungal,
L_supramarginal,Fungal Infections,38951,35385,3566,0.0272578395146178,-0.00654880550098988,0.0610644845302255,"0.03 (-0.01, 0.06)",0.114036800414461,0.599378466820887,Male,0.749,Cortical,Volume of supramarginal (left hemisphere),Fungal,
L_temporalpole,Fungal Infections,38344,34838,3506,0.0241077354370011,-0.00925348382991096,0.0574689547039131,"0.02 (-0.01, 0.06)",0.156675721860174,0.599378466820887,Male,0.514,Cortical,Volume of grey matter in Temporal Pole (left),Fungal,
L_transversetemporal,Fungal Infections,38951,35385,3566,0.00209925337302803,-0.0336354744179472,0.0378339811640033,"0.00 (-0.03, 0.04)",0.908332700432456,0.933940611572355,Male,0.104,Cortical,Volume of transversetemporal (left hemisphere),Fungal,
Laccumb,Fungal Infections,38337,34831,3506,-0.00234413991653521,-0.038338662342693,0.0336503825096225,"-0.00 (-0.04, 0.03)",0.898429397359645,0.933940611572355,Male,0.861,SubCortical,Volume of accumbens (left),Fungal,
Lamyg,Fungal Infections,38337,34831,3506,-0.00563003892705161,-0.0424443131523766,0.0311842352982734,"-0.01 (-0.04, 0.03)",0.7643706555905,0.929449732318578,Male,0.386,SubCortical,Volume of amygdala (left),Fungal,
